incident_id,date,n_killed,n_deaths < 2,n_injured,n_guns_involved,,,"Guns>1, Deaths>2","Guns=1, Deaths>2","Guns=1, Deaths<=2","Guns>1, Deaths<=2",,,Occasions where number of guns>1,Occasions where number of deaths>2
104496,06/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
104513,06/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104543,06/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104608,06/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104625,07/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
104829,07/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
104844,07/02/2014,2,FALSE,0,1,FALSE,,,,,,,,,
104922,13/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105041,07/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105060,06/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105063,08/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105072,04/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105074,08/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105088,03/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105137,06/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105150,01/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105185,07/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
105187,07/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105258,08/02/2014,2,FALSE,1,1,FALSE,,,,,,,,,
105283,06/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105311,10/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105377,10/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105409,09/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105496,09/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105520,09/02/2014,2,FALSE,1,1,FALSE,,,,,,,,,
105534,08/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105553,07/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105583,09/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105599,10/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105615,10/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105626,29/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105631,08/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105658,08/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105663,02/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105675,07/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105707,10/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
105780,09/02/2014,0,TRUE,0,2,FALSE,,,,,,,,,
105790,09/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
105794,11/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
105797,10/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
